,proportion_lie,average_ruling,count,proportion_0,proportion_1,proportion_2,proportion_3,proportion_4,proportion_5
Gambling,0.23076923076923078,1.7435897435897436,39,0.15384615384615385,0.3333333333333333,0.28205128205128205,0.10256410256410256,0.10256410256410256,0.02564102564102564
Population,0.28378378378378377,1.6486486486486487,74,0.28378378378378377,0.22972972972972974,0.20270270270270271,0.17567567567567569,0.05405405405405406,0.05405405405405406
This Week - ABC News,0.29999999999999999,1.875,120,0.18333333333333332,0.25833333333333336,0.25833333333333336,0.10833333333333334,0.18333333333333332,0.008333333333333333
Oil Spill,0.32258064516129031,2.0,62,0.1774193548387097,0.1935483870967742,0.3064516129032258,0.14516129032258066,0.12903225806451613,0.04838709677419355
Bipartisanship,0.32758620689655171,1.8793103448275863,116,0.22413793103448276,0.23275862068965517,0.21551724137931033,0.13793103448275862,0.14655172413793102,0.04310344827586207
County Government,0.32876712328767121,2.0410958904109591,73,0.2054794520547945,0.1506849315068493,0.3150684931506849,0.0958904109589041,0.1917808219178082,0.0410958904109589
Drugs,0.33076923076923076,1.823076923076923,130,0.2692307692307692,0.2076923076923077,0.19230769230769232,0.1,0.2230769230769231,0.007692307692307693
Housing,0.33898305084745761,2.0423728813559321,118,0.17796610169491525,0.23728813559322035,0.2457627118644068,0.11864406779661017,0.1440677966101695,0.07627118644067797
Income,0.34567901234567899,1.8847736625514404,243,0.1728395061728395,0.2962962962962963,0.18518518518518517,0.19753086419753085,0.11522633744855967,0.03292181069958848
Poverty,0.34817813765182187,2.0566801619433197,247,0.13360323886639677,0.29554655870445345,0.22267206477732793,0.12550607287449392,0.17408906882591094,0.048582995951417005
Debt,0.34838709677419355,2.096774193548387,155,0.10967741935483871,0.2903225806451613,0.25161290322580643,0.12258064516129032,0.1935483870967742,0.03225806451612903
Afghanistan,0.34999999999999998,1.9333333333333333,60,0.2833333333333333,0.21666666666666667,0.15,0.06666666666666667,0.2,0.08333333333333333
Pensions,0.34999999999999998,1.8833333333333333,60,0.2,0.31666666666666665,0.13333333333333333,0.11666666666666667,0.21666666666666667,0.016666666666666666
States,0.35825545171339562,2.0467289719626169,321,0.1838006230529595,0.24299065420560748,0.21495327102803738,0.13395638629283488,0.14953271028037382,0.07476635514018691
Redistricting,0.36363636363636365,1.75,44,0.25,0.29545454545454547,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0
Economy,0.36908727514990008,2.0679546968687541,1501,0.173217854763491,0.217854763491006,0.23984010659560293,0.1552298467688208,0.16455696202531644,0.04930046635576282
Infrastructure,0.37179487179487181,2.1025641025641026,78,0.14102564102564102,0.1794871794871795,0.3076923076923077,0.1794871794871795,0.19230769230769232,0.0
Workers,0.37431693989071041,2.0136612021857925,366,0.15027322404371585,0.26229508196721313,0.21311475409836064,0.20765027322404372,0.13114754098360656,0.03551912568306011
Deficit,0.38059701492537312,2.033582089552239,268,0.22761194029850745,0.1865671641791045,0.20522388059701493,0.13432835820895522,0.19776119402985073,0.048507462686567165
Iraq,0.38124999999999998,2.0062500000000001,160,0.2375,0.1875,0.19375,0.1375,0.2,0.04375
Education,0.38128772635814889,2.0995975855130786,994,0.15593561368209255,0.2243460764587525,0.23843058350100604,0.17706237424547283,0.15392354124748492,0.05030181086519115
Wealth,0.38461538461538464,2.0,78,0.16666666666666666,0.28205128205128205,0.16666666666666666,0.1794871794871795,0.1794871794871795,0.02564102564102564
Criminal Justice,0.38526912181303113,2.1161473087818696,353,0.16147308781869688,0.23229461756373937,0.22096317280453256,0.1813031161473088,0.12181303116147309,0.0821529745042493
Medicaid,0.38848920863309355,2.0575539568345325,139,0.1366906474820144,0.2446043165467626,0.2302158273381295,0.20863309352517986,0.17266187050359713,0.007194244604316547
Public Service,0.39473684210526316,2.0263157894736841,38,0.2894736842105263,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.07894736842105263
Marijuana,0.39506172839506171,2.0864197530864197,81,0.19753086419753085,0.13580246913580246,0.2716049382716049,0.18518518518518517,0.19753086419753085,0.012345679012345678
Families,0.39743589743589741,2.0320512820512819,156,0.20512820512820512,0.20512820512820512,0.19230769230769232,0.1794871794871795,0.1858974358974359,0.03205128205128205
Tourism,0.40000000000000002,2.0285714285714285,35,0.2857142857142857,0.2,0.11428571428571428,0.11428571428571428,0.17142857142857143,0.11428571428571428
Recreation,0.41176470588235292,1.9803921568627452,51,0.37254901960784315,0.13725490196078433,0.0784313725490196,0.0392156862745098,0.29411764705882354,0.0784313725490196
Women,0.41696113074204949,2.1342756183745584,283,0.15547703180212014,0.23674911660777384,0.19081272084805653,0.22614840989399293,0.1166077738515901,0.07420494699646643
Public Safety,0.41711229946524064,2.1336898395721926,187,0.18716577540106952,0.22459893048128343,0.1711229946524064,0.1657754010695187,0.18716577540106952,0.06417112299465241
Alcohol,0.43902439024390244,1.975609756097561,41,0.2682926829268293,0.1951219512195122,0.0975609756097561,0.1951219512195122,0.21951219512195122,0.024390243902439025
Congressional Rules,0.48717948717948717,2.5897435897435899,78,0.11538461538461539,0.10256410256410256,0.2948717948717949,0.16666666666666666,0.20512820512820512,0.11538461538461539
Message Machine 2012,0.50464396284829727,2.5541795665634677,323,0.09597523219814241,0.13312693498452013,0.26625386996904027,0.23529411764705882,0.16408668730650156,0.10526315789473684
Health Care,0.53514882837238764,2.5826472450918301,1579,0.11209626345788473,0.1570614312856238,0.19569347688410385,0.207726409119696,0.22609246358454718,0.1013299556681444
Stimulus,0.5357142857142857,2.6517857142857144,224,0.07142857142857142,0.14732142857142858,0.24553571428571427,0.23660714285714285,0.19196428571428573,0.10714285714285714
Terrorism,0.53846153846153844,2.594871794871795,390,0.13333333333333333,0.14615384615384616,0.18205128205128204,0.19487179487179487,0.21794871794871795,0.12564102564102564
Veterans,0.5393258426966292,2.5617977528089888,89,0.15730337078651685,0.12359550561797752,0.1797752808988764,0.20224719101123595,0.21348314606741572,0.12359550561797752
China,0.53968253968253965,2.7142857142857144,63,0.06349206349206349,0.20634920634920634,0.19047619047619047,0.20634920634920634,0.15873015873015872,0.1746031746031746
Hunger,0.54285714285714282,2.6000000000000001,35,0.11428571428571428,0.17142857142857143,0.17142857142857143,0.22857142857142856,0.17142857142857143,0.14285714285714285
Food Safety,0.54545454545454541,2.7878787878787881,33,0.09090909090909091,0.15151515151515152,0.21212121212121213,0.12121212121212122,0.2727272727272727,0.15151515151515152
Gas Prices,0.55000000000000004,2.5499999999999998,40,0.1,0.15,0.2,0.275,0.2,0.075
Cap and Trade,0.56097560975609762,2.7560975609756095,41,0.0975609756097561,0.17073170731707318,0.17073170731707318,0.0975609756097561,0.36585365853658536,0.0975609756097561
Pop Culture,0.56140350877192979,2.7017543859649122,57,0.17543859649122806,0.14035087719298245,0.12280701754385964,0.12280701754385964,0.24561403508771928,0.19298245614035087
Islam,0.5625,2.9166666666666665,48,0.0625,0.22916666666666666,0.14583333333333334,0.14583333333333334,0.125,0.2916666666666667
Medicare,0.56573705179282874,2.689243027888446,251,0.09163346613545817,0.12749003984063745,0.2151394422310757,0.22310756972111553,0.250996015936255,0.09163346613545817
Israel,0.56862745098039214,2.784313725490196,51,0.0392156862745098,0.17647058823529413,0.21568627450980393,0.19607843137254902,0.27450980392156865,0.09803921568627451
Privacy,0.5757575757575758,2.8484848484848486,33,0.12121212121212122,0.18181818181818182,0.12121212121212122,0.09090909090909091,0.2727272727272727,0.21212121212121213
Message Machine 2014,0.5892857142857143,2.6785714285714284,56,0.07142857142857142,0.14285714285714285,0.19642857142857142,0.30357142857142855,0.19642857142857142,0.08928571428571429
Negative Campaigning,0.5957446808510638,2.8297872340425534,94,0.10638297872340426,0.10638297872340426,0.19148936170212766,0.20212765957446807,0.23404255319148937,0.1595744680851064
