,edition,ruling,number_ruling,lie
0,Texas,Pants on Fire!,5,1
1135,Florida,Half-True,2,0
1168,Florida,False,4,1
1170,Florida,Mostly False,3,1
1192,Florida,Pants on Fire!,5,1
1200,Florida,False,4,1
1230,Florida,False,4,1
1254,Florida,Half-True,2,0
1257,Florida,True,0,0
1263,Florida,True,0,0
1265,Texas,Mostly False,3,1
1266,Texas,Half-True,2,0
1267,Texas,False,4,1
1268,Texas,Pants on Fire!,5,1
1269,Texas,Mostly True,1,0
1270,Texas,Mostly True,1,0
1271,Texas,False,4,1
1274,Texas,Half-True,2,0
1275,Texas,Mostly True,1,0
1277,Florida,Mostly False,3,1
1279,Florida,True,0,0
1280,Texas,True,0,0
1281,Texas,Pants on Fire!,5,1
1282,Florida,Mostly True,1,0
1283,Texas,False,4,1
1284,Texas,Mostly True,1,0
1287,Texas,False,4,1
1288,Texas,True,0,0
1289,Texas,Half-True,2,0
1290,Texas,Half-True,2,0
1295,Texas,False,4,1
1296,Texas,True,0,0
1298,Texas,False,4,1
1300,Texas,True,0,0
1306,Texas,False,4,1
1307,Texas,Half-True,2,0
1309,Texas,Mostly True,1,0
1310,Texas,True,0,0
1315,Texas,Mostly True,1,0
1316,Texas,Mostly True,1,0
1317,Texas,Pants on Fire!,5,1
1328,Texas,Half-True,2,0
1332,Texas,True,0,0
1334,Florida,Mostly True,1,0
1339,Texas,Half-True,2,0
1340,Texas,Pants on Fire!,5,1
1341,Texas,Mostly False,3,1
1342,Florida,Half-True,2,0
1345,Texas,False,4,1
1347,Texas,Mostly False,3,1
1349,Texas,True,0,0
1351,Texas,Mostly True,1,0
1355,Texas,Half-True,2,0
1361,Texas,True,0,0
1362,Texas,Half-True,2,0
1363,Texas,Half-True,2,0
1367,Texas,Mostly False,3,1
1368,Texas,False,4,1
1370,Texas,Mostly False,3,1
1372,Texas,False,4,1
1377,Texas,False,4,1
1378,Texas,True,0,0
1380,Texas,False,4,1
1382,Texas,False,4,1
1383,Texas,Mostly False,3,1
1385,Texas,False,4,1
1386,Texas,Mostly True,1,0
1387,Texas,False,4,1
1393,Florida,True,0,0
1395,Florida,Half-True,2,0
1397,Florida,Mostly True,1,0
1398,Texas,Mostly False,3,1
1399,Florida,Half-True,2,0
1400,Florida,Pants on Fire!,5,1
1401,Florida,Mostly False,3,1
1403,Florida,True,0,0
1404,Florida,Half-True,2,0
1405,Texas,Half-True,2,0
1407,Florida,Mostly False,3,1
1409,Texas,Half-True,2,0
1411,Texas,Mostly False,3,1
1412,Texas,Half-True,2,0
1413,Texas,False,4,1
1414,Texas,True,0,0
1415,Texas,True,0,0
1417,Texas,Mostly True,1,0
1419,Florida,Half-True,2,0
